feature,gini_importance,perm_importance,perm_std,rank
vol_60m,0.18597128450308556,0.118596345020537,0.0019579070298810495,1
vol_ratio_60_240,0.093489083579471,0.05980117864158585,0.001609705914952232,2
atr_pct,0.08186911198854678,0.012572176915292632,0.0011851176872221174,3
log_return,0.20413784296601192,0.010000595273528234,0.00024106740557550452,4
volume_spike,0.2849268458623352,0.008946961128638653,0.00032826515099616235,5
return_skew_60m,0.034311189106046185,0.0030597059348771217,0.0003986110850118038,6
bb_width,0.06261872001369366,0.003053753199595266,0.000921444197347888,7
cum_return_60m,0.016204594486428185,0.0016012857908209387,0.0002234457334260857,8
vol_240m,0.01874869293329558,0.0013750818501101602,0.00019095202014817112,9
rsi,0.01772263456108604,0.0009881540567891144,0.0002262039407107435,10
