step,active_regime,forecast_variance,forecast_vol,forecast_vol_ann
1,0,9.133897740915812e-06,0.0030222338991077132,0.28286559389650506
2,0,9.541144230940956e-06,0.0030888742659650223,0.28910279047951576
3,0,9.928930027850897e-06,0.003151020474045019,0.29491935684856946
4,0,1.0298185080916654e-05,0.0032090785407834217,0.30035329415345174
5,0,1.0649794900825197e-05,0.003263402350435079,0.3054377241455756
6,0,1.0984602683222969e-05,0.0033143027446542912,0.31020174000968015
7,0,1.1303411330783697e-05,0.0033620546293574257,0.3146710715297248
8,0,1.160698537864961e-05,0.0034069026077435216,0.31886861231072994
9,0,1.1896052827863451e-05,0.0034490655006629623,0.3228148428621024
10,0,1.217130689118808e-05,0.003488740014846059,0.3265281739250192
11,0,1.2433407655500254e-05,0.003526103749962592,0.3300252279177794
12,0,1.2682983664745234e-05,0.0035613176865796786,0.3333210717959011
13,0,1.2920633427248262e-05,0.003594528262129575,0.3364294113520617
14,0,1.3146926850997611e-05,0.0036258691166391557,0.33936275460742454
15,0,1.3362406610341153e-05,0.0036554625713226983,0.34213255020034045
16,0,1.3567589447373924e-05,0.0036834208892514474,0.34474930537855414
17,0,1.376296741113755e-05,0.0037098473568514313,0.3472226872218533
18,0,1.3949009037603233e-05,0.0037348372170153857,0.34956160997655955
19,0,1.4126160473268061e-05,0.0037584784784894087,0.35177431080996835
20,0,1.429484654505909e-05,0.003780852621441239,0.35386841584792167
21,0,1.4455471779110959e-05,0.003802035215395954,0.3558509980104201
22,0,1.4608421370860182e-05,0.0038220964627884765,0.35772862788535
23,0,1.4754062108782469e-05,0.0038411016790476232,0.35950741866188857
24,0,1.4892743253988308e-05,0.0038591117182569757,0.3611930659701783
25,0,1.502479737778618e-05,0.0038761833519308886,0.3627908833328188
26,0,1.515054115922194e-05,0.0038923696072215366,0.36430583381931203
27,0,1.5270276144506958e-05,0.0039077200698753945,0.3657425584012352
28,0,1.538428947015621e-05,0.003922281156438968,0.3671054014293012
29,0,1.549285455157046e-05,0.003936096359538275,0.36839843359026003
30,0,1.559623173871385e-05,0.003949206469496606,0.3696254726491849
31,0,1.5694668940459238e-05,0.0039616497750885596,0.37079010223902004
32,0,1.578840221909858e-05,0.0039734622458378254,0.3718956889227187
33,0,1.5877656356443985e-05,0.003984677697937938,0.3729453977225745
34,0,1.596264539287708e-05,0.003995327945598094,0.37394220628541414
35,0,1.604357314063933e-05,0.004005442939381278,0.3748889178303362
36,0,1.6120633672594247e-05,0.004015050892902137,0.3757881730069822
37,0,1.6194011787633608e-05,0.0040241783990814335,0.37664246077635805
38,0,1.626388345384375e-05,0.004032850537007756,0.37745412841254133
39,0,1.6330416230494693e-05,0.0040410909703314886,0.37822539071185257
40,0,1.6393769669864115e-05,0.004048922038007661,0.3789583384859207
41,0,1.6454095699859707e-05,0.00405636483811056,0.3796549464063007
42,0,1.6511538988357565e-05,0.0040634393053616,0.38031708026068495
43,0,1.6566237290130267e-05,0.004070164282941202,0.3809465036741263
44,0,1.6618321777196657e-05,0.004076557589093604,0.38154488434290756
45,0,1.6667917353385513e-05,0.00408263607897955,0.38211379982363514
46,0,1.671514295386746e-05,0.004088415702184339,0.38265474291569807
47,0,1.676011183037346e-05,0.004093911556247089,0.38316912667133235
48,0,1.6802931822783827e-05,0.004099137936540295,0.38365828906409194
